area,room,toilet,lat,long,quan,loai_bds,price-VND
90,4,6,16.02983,108.25417,quan-ngu-hanh-son,mua-nha-mat-tien-pho/,1900000000
30,2,1,16.06791,108.20152,quan-thanh-khe,mua-nha-hem-ngo/,1940000000
45,2,1,16.06268,108.21976,quan-hai-chau,mua-nha-hem-ngo/,1950000000
43,2,2,16.06964,108.20322,quan-thanh-khe,mua-nha-hem-ngo/,1950000000
40,2,2,16.0252,108.21356,quan-cam-le,mua-nha-mat-tien-pho/,1950000000
66,2,2,16.05347,108.24648,quan-ngu-hanh-son,mua-can-ho-chung-cu/,1950000000
50,1,1,16.07371,108.21071,quan-thanh-khe,mua-nha-hem-ngo/,1970000000
72,2,2,15.98635,108.25687,quan-ngu-hanh-son,mua-can-ho-chung-cu/,2000000000
72,2,2,16.01971,108.25581,quan-ngu-hanh-son,mua-can-ho-chung-cu/,2000000000
72,2,2,16.01971,108.25581,quan-ngu-hanh-son,mua-can-ho-chung-cu/,2000000000
72,2,2,15.99392,108.25497,quan-ngu-hanh-son,mua-can-ho-chung-cu/,2000000000
45,2,2,16.06268,108.21976,quan-hai-chau,mua-nha-hem-ngo/,2000000000
72,2,2,15.98635,108.25687,quan-ngu-hanh-son,mua-can-ho-chung-cu/,2000000000
53,3,2,16.05515,108.21731,quan-hai-chau,mua-nha-hem-ngo/,2000000000
72,2,2,15.98635,108.25687,quan-ngu-hanh-son,mua-can-ho-chung-cu/,2000000000
92,3,2,16.05799,108.15665,quan-lien-chieu,mua-nha-hem-ngo/,2050000000
80,2,2,16.0143,108.19913,quan-cam-le,mua-nha-hem-ngo/,2080000000
100,0,0,16.05192,108.16724,quan-lien-chieu,mua-dat-nen-du-an/,2100000000
42,1,1,16.07031,108.24423,quan-son-tra,mua-can-ho-chung-cu/,2100000000
40,3,2,16.04335,108.22148,quan-hai-chau,mua-nha-hem-ngo/,2100000000
55,2,1,16.05827,108.174,quan-cam-le,mua-nha-hem-ngo/,2150000000
100,2,2,16.05192,108.16724,quan-lien-chieu,mua-nha-mat-tien-pho/,2199000000
150,0,0,16.09512,108.13844,quan-lien-chieu,mua-dat-nen-du-an/,2200000000
182,0,0,16.02983,108.25417,quan-ngu-hanh-son,mua-dat-tho-cu/,2200000000
65,0,0,16.06793,108.18581,quan-thanh-khe,mua-dat-nen-du-an/,2200000000
40,2,3,16.06851,108.20916,quan-thanh-khe,mua-nha-hem-ngo/,2200000000
52,0,0,16.06756,108.24001,quan-son-tra,mua-dat-kho-xuong/,2200000000
64,2,2,16.08011,108.21995,quan-hai-chau,mua-can-ho-chung-cu/,2300000000
85,0,0,16.03718,108.24387,quan-ngu-hanh-son,mua-dat-tho-cu/,2300000000
71,1,2,16.08011,108.21995,quan-hai-chau,mua-can-ho-chung-cu/,2300000000
71,1,2,16.08011,108.21995,quan-hai-chau,mua-can-ho-chung-cu/,2300000000
51,0,0,16.05515,108.21731,quan-hai-chau,mua-dat-tho-cu/,2300000000
70,2,2,16.08024,108.22089,quan-hai-chau,mua-can-ho-chung-cu/,2300000000
108,0,0,15.99246,108.21312,quan-cam-le,mua-dat-tho-cu/,2300000000
85,0,0,16.03718,108.24387,quan-ngu-hanh-son,mua-dat-tho-cu/,2300000000
61,3,3,16.08428,108.15575,quan-lien-chieu,mua-nha-mat-tien-pho/,2300000000
64,2,2,16.08011,108.21995,quan-hai-chau,mua-can-ho-chung-cu/,2350000000
67,0,0,16.06756,108.20497,quan-thanh-khe,mua-dat-tho-cu/,2370000000
54,3,2,16.05448,108.18343,quan-thanh-khe,mua-nha-hem-ngo/,2375000000
150,0,0,16.05192,108.16724,quan-lien-chieu,mua-dat-nen-du-an/,2380000000
118,0,0,15.99961,108.206,huyen-hoa-vang,mua-dat-tho-cu/,2400000000
84,2,2,16.08475,108.24007,quan-son-tra,mua-nha-hem-ngo/,2400000000
120,0,0,15.99961,108.206,huyen-hoa-vang,mua-dat-tho-cu/,2400000000
57,3,3,16.07222,108.1833,quan-thanh-khe,mua-nha-hem-ngo/,2450000000
56,3,4,16.06633,108.18203,quan-thanh-khe,mua-nha-hem-ngo/,2450000000
67,2,2,16.05347,108.24648,quan-ngu-hanh-son,mua-can-ho-chung-cu/,2450000000
48,2,2,16.08597,108.21839,quan-hai-chau,mua-duong-noi-bo/,2480000000
114,3,3,16.05461,108.24057,quan-son-tra,mua-nha-mat-tien-pho/,2490000000
150,0,0,16.05192,108.16724,quan-lien-chieu,mua-dat-nen-du-an/,2500000000
70,2,1,16.10909,108.13038,quan-lien-chieu,mua-duong-noi-bo/,2500000000
84,0,0,16.06063,108.21655,quan-hai-chau,mua-dat-tho-cu/,2500000000
100,0,0,16.00641,108.23998,quan-ngu-hanh-son,mua-dat-tho-cu/,2500000000
85,0,0,15.9803,108.25236,quan-ngu-hanh-son,mua-dat-tho-cu/,2500000000
63,2,1,16.02035,108.20494,quan-cam-le,mua-nha-hem-ngo/,2500000000
105,3,2,16.03851,108.24755,quan-ngu-hanh-son,mua-can-ho-chung-cu/,2500000000
54,3,2,16.0668,108.21416,quan-thanh-khe,mua-nha-hem-ngo/,2550000000
54,1,1,16.05406,108.2194,quan-hai-chau,mua-nha-hem-ngo/,2550000000
70,5,4,16.05817,108.20961,quan-thanh-khe,mua-nha-hem-ngo/,2550000000
35,4,3,16.06192,108.22171,quan-hai-chau,mua-nha-hem-ngo/,2550000000
95,0,0,15.99477,108.20297,huyen-hoa-vang,mua-dat-tho-cu/,2550000000
85,3,3,16.03406,108.17856,quan-cam-le,mua-nha-hem-ngo/,2550000000
300,0,0,15.97968,108.21498,quan-cam-le,mua-dat-tho-cu/,2600000000
100,0,0,16.00641,108.23998,quan-ngu-hanh-son,mua-dat-tho-cu/,2600000000
210,0,0,16.04797,108.15633,quan-lien-chieu,mua-dat-tho-cu/,2600000000
100,0,0,16.09512,108.13844,quan-lien-chieu,mua-dat-nen-du-an/,2630000000
52,2,1,16.0854,108.23467,quan-son-tra,mua-nha-mat-tien-pho/,2650000000
44,2,2,16.07371,108.21071,quan-thanh-khe,mua-nha-hem-ngo/,2650000000
100,0,0,15.99033,108.26709,quan-ngu-hanh-son,mua-dat-tho-cu/,2690000000
80,2,1,16.03553,108.21571,quan-hai-chau,mua-nha-hem-ngo/,2690000000
125,0,0,16.09512,108.13844,quan-lien-chieu,mua-dat-nen-du-an/,2700000000
117,3,2,16.06326,108.21063,quan-thanh-khe,mua-dat/,2700000000
115,3,2,16.06688,108.1799,quan-thanh-khe,mua-nha-hem-ngo/,2700000000
175,10,10,16.0799,108.13589,quan-lien-chieu,mua-nha-mat-tien-pho/,2700000000
72,2,1,16.08286,108.16059,quan-lien-chieu,mua-nha-mat-tien-pho/,2700000000
100,2,1,15.98276,108.21213,quan-cam-le,mua-nha-mat-tien-pho/,2700000000
150,0,0,16.05192,108.16724,quan-lien-chieu,mua-dat-nen-du-an/,2700000000
175,3,3,16.0799,108.13589,quan-lien-chieu,mua-nha-mat-tien-pho/,2700000000
75,2,2,16.0558,108.22367,quan-hai-chau,mua-can-ho-chung-cu/,2700000000
150,0,0,16.05192,108.16724,quan-lien-chieu,mua-dat-nen-du-an/,2700000000
100,0,0,15.99033,108.26709,quan-ngu-hanh-son,mua-dat-tho-cu/,2750000000
90,0,0,16.05243,108.1776,quan-cam-le,mua-dat-tho-cu/,2750000000
125,0,0,16.09512,108.13844,quan-lien-chieu,mua-dat-nen-du-an/,2795000000
81,0,0,16.02577,108.20979,quan-cam-le,mua-dat-tho-cu/,2800000000
88,3,2,15.98326,108.25256,quan-ngu-hanh-son,mua-nha-mat-tien-pho/,2800000000
90,0,0,15.98635,108.25687,quan-ngu-hanh-son,mua-dat-nen-du-an/,2800000000
87,3,2,15.97796,108.26199,quan-ngu-hanh-son,mua-nha-mat-tien-pho/,2800000000
81,0,0,16.02577,108.20979,quan-cam-le,mua-dat-tho-cu/,2800000000
88,3,2,15.98326,108.25256,quan-ngu-hanh-son,mua-nha-mat-tien-pho/,2800000000
252,3,4,16.07331,108.24296,quan-son-tra,mua-nha-biet-thu-lien-ke/,2800000000
125,0,0,16.09512,108.13844,quan-lien-chieu,mua-dat-nen-du-an/,2800000000
87,3,2,15.98635,108.25687,quan-ngu-hanh-son,mua-nha-mat-tien-pho/,2800000000
90,2,2,15.98635,108.25687,quan-ngu-hanh-son,mua-can-ho-chung-cu/,2800000000
78,3,3,16.09512,108.13844,quan-lien-chieu,mua-can-ho-dich-vu/,2800000000
50,0,0,16.06606,108.18659,quan-thanh-khe,mua-dat-tho-cu/,2850000000
48,3,2,16.0597,108.21212,quan-thanh-khe,mua-nha-hem-ngo/,2850000000
52,0,0,16.07867,108.22043,quan-hai-chau,mua-dat-tho-cu/,2850000000
82,2,2,16.09384,108.24476,quan-son-tra,mua-can-ho-chung-cu/,2870000000
83,2,2,16.09384,108.24476,quan-son-tra,mua-can-ho-chung-cu/,2870000000
40,2,2,16.0608,108.20521,quan-thanh-khe,mua-nha-hem-ngo/,2879000000
63,2,2,16.04404,108.22296,quan-hai-chau,mua-nha-hem-ngo/,2899000000
85,0,0,16.02974,108.242,quan-ngu-hanh-son,mua-dat-tho-cu/,2900000000
150,0,0,16.05192,108.16724,quan-lien-chieu,mua-dat-nen-du-an/,2900000000
42,3,4,16.05173,108.22054,quan-hai-chau,mua-nha-hem-ngo/,2900000000
74,2,2,16.1061,108.13558,quan-lien-chieu,mua-can-ho-dich-vu/,2900000000
61,3,3,16.06306,108.24195,quan-son-tra,mua-duong-noi-bo/,2900000000
74,2,2,16.1061,108.13558,quan-lien-chieu,mua-can-ho-tap-the-cu-xa/,2900000000
150,0,0,16.05192,108.16724,quan-lien-chieu,mua-dat-nen-du-an/,2900000000
120,2,2,16.05448,108.18343,quan-thanh-khe,mua-nha-hem-ngo/,2930000000
60,3,3,16.05676,108.16851,quan-lien-chieu,mua-nha-hem-ngo/,2950000000
90,0,0,16.04454,108.21522,quan-hai-chau,mua-duong-noi-bo/,2950000000
49,3,3,16.0669,108.21225,quan-thanh-khe,mua-nha-hem-ngo/,2950000000
45,3,2,16.0779,108.21025,quan-hai-chau,mua-nha-hem-ngo/,2950000000
45,3,3,16.06063,108.21655,quan-hai-chau,mua-nha-hem-ngo/,2990000000
75,3,3,16.1061,108.13558,quan-lien-chieu,mua-can-ho-dich-vu/,2990000000
70,2,2,16.0377,108.21407,quan-hai-chau,mua-nha-hem-ngo/,3000000000
62,1,1,16.03851,108.24755,quan-ngu-hanh-son,mua-can-ho-chung-cu/,3000000000
88,4,2,16.06791,108.20152,quan-thanh-khe,mua-nha-hem-ngo/,3000000000
62,1,1,16.03851,108.24755,quan-ngu-hanh-son,mua-can-ho-chung-cu/,3000000000
85,4,2,16.07243,108.20271,quan-thanh-khe,mua-nha-hem-ngo/,3000000000
50,3,4,16.08417,108.21861,quan-hai-chau,mua-nha-hem-ngo/,3000000000
85,4,2,16.07243,108.20271,quan-thanh-khe,mua-nha-hem-ngo/,3000000000
80,4,3,16.06826,108.18784,quan-thanh-khe,mua-nha-hem-ngo/,3050000000
67,3,3,16.06531,108.23834,quan-son-tra,mua-nha-hem-ngo/,3090000000
85,2,1,16.06228,108.237,quan-son-tra,mua-duong-noi-bo/,3090000000
94,0,0,16.01245,108.25361,quan-ngu-hanh-son,mua-dat-tho-cu/,3090000000
67,4,3,16.06531,108.23834,quan-son-tra,mua-nha-hem-ngo/,3090000000
85,2,1,16.06228,108.237,quan-son-tra,mua-nha-hem-ngo/,3090000000
50,3,3,16.0789,108.21699,quan-hai-chau,mua-nha-hem-ngo/,3100000000
74,2,2,16.1061,108.13558,quan-lien-chieu,mua-can-ho-chung-cu/,3100000000
60,0,0,16.05085,108.24319,quan-ngu-hanh-son,mua-dat-tho-cu/,3100000000
94,0,0,16.01245,108.25361,quan-ngu-hanh-son,mua-dat-tho-cu/,3100000000
94,0,0,15.98728,108.26717,quan-ngu-hanh-son,mua-dat-tho-cu/,3100000000
110,0,0,15.99107,108.23758,quan-ngu-hanh-son,mua-dat-tho-cu/,3100000000
45,3,3,16.06063,108.21655,quan-hai-chau,mua-nha-hem-ngo/,3100000000
70,3,2,16.04454,108.21522,quan-hai-chau,mua-nha-hem-ngo/,3100000000
90,7,7,15.9809,108.25448,quan-ngu-hanh-son,mua-nha-mat-tien-pho/,3100000000
86,3,2,16.06557,108.192,quan-thanh-khe,mua-nha-hem-ngo/,3130000000
60,4,3,16.05817,108.20961,quan-thanh-khe,mua-nha-hem-ngo/,3150000000
56,4,2,16.07243,108.20271,quan-thanh-khe,mua-nha-hem-ngo/,3190000000
120,0,0,16.02268,108.24644,quan-ngu-hanh-son,mua-dat-tho-cu/,3200000000
90,0,0,16.07345,108.16578,quan-lien-chieu,mua-dat-tho-cu/,3200000000
60,0,0,16.08591,108.23199,quan-son-tra,mua-dat-tho-cu/,3200000000
80,0,0,16.02617,108.24185,quan-ngu-hanh-son,mua-dat-tho-cu/,3200000000
55,3,3,16.08562,108.21912,quan-hai-chau,mua-nha-hem-ngo/,3200000000
50,3,2,16.06352,108.20856,quan-thanh-khe,mua-nha-hem-ngo/,3200000000
72,2,2,16.09256,108.2308,quan-son-tra,mua-nha-mat-tien-pho/,3200000000
80,0,0,16.02611,108.24381,quan-ngu-hanh-son,mua-dat-tho-cu/,3200000000
50,3,2,16.06352,108.20856,quan-thanh-khe,mua-duong-noi-bo/,3200000000
82,2,1,16.03851,108.24755,quan-ngu-hanh-son,mua-can-ho-chung-cu/,3200000000
50,3,2,16.06352,108.20856,quan-thanh-khe,mua-duong-noi-bo/,3200000000
55,3,3,16.08562,108.21912,quan-hai-chau,mua-nha-hem-ngo/,3200000000
54,1,1,16.1061,108.13558,quan-lien-chieu,mua-can-ho-dich-vu/,3200000000
70,2,1,16.04156,108.22326,quan-hai-chau,mua-nha-hem-ngo/,3250000000
100,3,2,16.00641,108.23998,quan-ngu-hanh-son,mua-nha-mat-tien-pho/,3290000000
82,2,2,16.03851,108.24755,quan-ngu-hanh-son,mua-can-ho-chung-cu/,3300000000
75,3,2,16.07516,108.23167,quan-son-tra,mua-nha-hem-ngo/,3300000000
105,0,0,16.09579,108.22874,quan-son-tra,mua-dat-tho-cu/,3300000000
78,2,2,16.0603,108.23628,quan-son-tra,mua-nha-hem-ngo/,3300000000
160,3,3,16.08412,108.16158,quan-lien-chieu,mua-nha-biet-thu-lien-ke/,3300000000
93,0,0,16.00881,108.21744,quan-cam-le,mua-dat-tho-cu/,3350000000
75,2,2,16.07507,108.16997,quan-lien-chieu,mua-nha-mat-tien-pho/,3350000000
75,2,2,16.07507,108.16997,quan-lien-chieu,mua-nha-mat-tien-pho/,3350000000
82,2,2,16.03851,108.24755,quan-ngu-hanh-son,mua-can-ho-chung-cu/,3400000000
60,4,4,16.05676,108.16851,quan-lien-chieu,mua-nha-hem-ngo/,3400000000
86,0,0,16.10043,108.25233,quan-son-tra,mua-dat-tho-cu/,3400000000
62,2,2,16.03851,108.24755,quan-ngu-hanh-son,mua-can-ho-chung-cu/,3400000000
60,3,3,16.05159,108.20989,quan-hai-chau,mua-nha-hem-ngo/,3400000000
62,2,1,16.03851,108.24755,quan-ngu-hanh-son,mua-can-ho-chung-cu/,3400000000
50,3,2,16.06352,108.20856,quan-thanh-khe,mua-nha-hem-ngo/,3400000000
53,1,1,16.08881,108.22049,quan-hai-chau,mua-can-ho-chung-cu/,3400000000
100,3,2,15.99639,108.21336,quan-cam-le,mua-nha-mat-tien-pho/,3400000000
82,2,2,16.03851,108.24755,quan-ngu-hanh-son,mua-can-ho-chung-cu/,3449000000
75,3,2,16.07687,108.22035,quan-hai-chau,mua-nha-hem-ngo/,3450000000
56,3,1,16.08656,108.23388,quan-son-tra,mua-nha-mat-tien-pho/,3450000000
82,0,0,16.04361,108.20663,quan-hai-chau,mua-dat-tho-cu/,3450000000
100,3,2,15.99476,108.21192,quan-cam-le,mua-nha-mat-tien-pho/,3450000000
100,0,0,15.99246,108.21312,quan-cam-le,mua-dat-tho-cu/,3490000000
102,0,0,15.9922,108.26839,quan-ngu-hanh-son,mua-dat-tho-cu/,3490000000
82,2,2,16.03851,108.24755,quan-ngu-hanh-son,mua-can-ho-chung-cu/,3499000000
86,0,0,16.03506,108.23964,quan-ngu-hanh-son,mua-dat-tho-cu/,3500000000
83,2,2,15.99582,108.26936,quan-ngu-hanh-son,mua-can-ho-chung-cu/,3500000000
105,3,2,16.03851,108.24755,quan-ngu-hanh-son,mua-can-ho-chung-cu/,3500000000
85,0,0,16.03506,108.23964,quan-ngu-hanh-son,mua-dat-tho-cu/,3500000000
50,2,2,16.05504,108.23528,quan-son-tra,mua-nha-mat-tien-pho/,3500000000
62,2,1,16.03851,108.24755,quan-ngu-hanh-son,mua-can-ho-chung-cu/,3500000000
70,0,0,16.07067,108.21568,quan-hai-chau,mua-dat-tho-cu/,3500000000
82,2,2,16.03851,108.24755,quan-ngu-hanh-son,mua-can-ho-chung-cu/,3500000000
90,3,2,16.05344,108.16739,quan-lien-chieu,mua-nha-mat-tien-pho/,3500000000
83,2,2,16.03851,108.24755,quan-ngu-hanh-son,mua-can-ho-chung-cu/,3500000000
83,2,2,16.03851,108.24755,quan-ngu-hanh-son,mua-can-ho-chung-cu/,3500000000
75,0,0,16.09256,108.2308,quan-son-tra,mua-dat-tho-cu/,3500000000
50,2,2,16.05504,108.23528,quan-son-tra,mua-nha-mat-tien-pho/,3500000000
92,4,2,16.06578,108.20387,quan-thanh-khe,mua-nha-hem-ngo/,3500000000
51,3,4,16.07688,108.21215,quan-hai-chau,mua-nha-hem-ngo/,3500000000
51,3,4,16.07688,108.21215,quan-hai-chau,mua-nha-mat-tien-pho/,3500000000
105,3,2,16.03851,108.24755,quan-ngu-hanh-son,mua-can-ho-chung-cu/,3500000000
105,3,3,16.03851,108.24755,quan-ngu-hanh-son,mua-can-ho-chung-cu/,3500000000
82,2,2,16.03851,108.24755,quan-ngu-hanh-son,mua-can-ho-chung-cu/,3500000000
107,2,2,15.99582,108.26936,quan-ngu-hanh-son,mua-can-ho-chung-cu/,3500000000
61,2,2,16.06191,108.23652,quan-son-tra,mua-can-ho-chung-cu/,3500000000
50,3,3,16.04415,108.21923,quan-hai-chau,mua-nha-hem-ngo/,3530000000
58,3,3,16.07481,108.21054,quan-thanh-khe,mua-nha-hem-ngo/,3549000000
100,0,0,16.01451,108.22781,quan-cam-le,mua-dat-tho-cu/,3550000000
123,3,3,16.05861,108.21823,quan-hai-chau,mua-nha-hem-ngo/,3550000000
90,2,2,16.0597,108.21212,quan-thanh-khe,mua-nha-hem-ngo/,3550000000
58,3,2,16.07481,108.21054,quan-thanh-khe,mua-nha-hem-ngo/,3550000000
53,3,2,16.05515,108.21731,quan-hai-chau,mua-nha-mat-tien-pho/,3580000000
53,3,2,16.05515,108.21731,quan-hai-chau,mua-nha-hem-ngo/,3580000000
53,3,2,16.05515,108.21731,quan-hai-chau,mua-nha-mat-tien-pho/,3580000000
53,3,2,16.05515,108.21731,quan-hai-chau,mua-nha-mat-tien-pho/,3580000000
53,3,2,16.05515,108.21731,quan-hai-chau,mua-nha-mat-tien-pho/,3580000000
53,3,2,16.05515,108.21731,quan-hai-chau,mua-nha-mat-tien-pho/,3580000000
53,3,2,16.05515,108.21731,quan-hai-chau,mua-nha-hem-ngo/,3580000000
53,3,3,16.05515,108.21731,quan-hai-chau,mua-nha-hem-ngo/,3580000000
55,3,2,16.05504,108.23528,quan-son-tra,mua-nha-mat-tien-pho/,3590000000
41,4,3,16.06746,108.19719,quan-thanh-khe,mua-nha-hem-ngo/,3590000000
65,3,4,16.05448,108.18343,quan-thanh-khe,mua-nha-hem-ngo/,3590000000
43,2,1,16.09023,108.24266,quan-son-tra,mua-nha-mat-tien-pho/,3600000000
100,0,0,16.01559,108.2225,quan-cam-le,mua-dat-tho-cu/,3600000000
100,0,0,16.01412,108.19179,quan-cam-le,mua-dat-nen-du-an/,3600000000
85,3,1,16.03506,108.23964,quan-ngu-hanh-son,mua-nha-mat-tien-pho/,3600000000
43,2,1,16.09023,108.24266,quan-son-tra,mua-nha-mat-tien-pho/,3600000000
85,0,0,16.09447,108.23031,quan-son-tra,mua-dat-tho-cu/,3600000000
69,3,3,16.04076,108.21777,quan-hai-chau,mua-nha-hem-ngo/,3600000000
100,2,2,16.01533,108.22171,quan-cam-le,mua-nha-mat-tien-pho/,3600000000
62,2,1,16.03851,108.24755,quan-ngu-hanh-son,mua-can-ho-chung-cu/,3650000000
100,0,0,16.01451,108.22781,quan-cam-le,mua-dat-tho-cu/,3650000000
100,0,0,15.98983,108.21364,quan-cam-le,mua-dat-tho-cu/,3650000000
99,0,0,16.01171,108.21869,quan-cam-le,mua-dat-tho-cu/,3650000000
58,0,0,16.05638,108.24681,quan-ngu-hanh-son,mua-dat-tho-cu/,3680000000
105,3,2,16.04698,108.17251,quan-cam-le,mua-nha-mat-tien-pho/,3690000000
75,0,0,16.07747,108.21258,quan-hai-chau,mua-dat-tho-cu/,3700000000
60,2,2,16.05577,108.23296,quan-son-tra,mua-nha-hem-ngo/,3700000000
82,2,1,16.03851,108.24755,quan-ngu-hanh-son,mua-can-ho-chung-cu/,3700000000
90,4,4,16.02983,108.25417,quan-ngu-hanh-son,mua-nha-mat-tien-pho/,3700000000
75,0,0,16.08737,108.2457,quan-son-tra,mua-dat-tho-cu/,3700000000
150,0,0,16.05192,108.16724,quan-lien-chieu,mua-dat-nen-du-an/,3700000000
100,2,2,15.99107,108.23758,quan-ngu-hanh-son,mua-nha-mat-tien-pho/,3700000000
85,0,0,16.09447,108.23031,quan-son-tra,mua-dat-tho-cu/,3700000000
83,2,2,16.03851,108.24755,quan-ngu-hanh-son,mua-can-ho-chung-cu/,3700000000
75,3,3,16.07875,108.16616,quan-lien-chieu,mua-nha-mat-tien-pho/,3750000000
75,3,3,16.07875,108.16616,quan-lien-chieu,mua-nha-mat-tien-pho/,3750000000
75,3,3,16.07875,108.16616,quan-lien-chieu,mua-nha-mat-tien-pho/,3750000000
83,2,2,16.03851,108.24755,quan-ngu-hanh-son,mua-can-ho-chung-cu/,3750000000
60,3,3,16.05676,108.16851,quan-lien-chieu,mua-nha-hem-ngo/,3750000000
34,2,2,16.09384,108.24476,quan-son-tra,mua-nha-mat-tien-pho/,3750000000
75,3,3,16.07875,108.16616,quan-lien-chieu,mua-nha-mat-tien-pho/,3750000000
68,3,4,16.04076,108.21777,quan-hai-chau,mua-nha-hem-ngo/,3779000000
55,3,2,16.05504,108.23528,quan-son-tra,mua-nha-mat-tien-pho/,3800000000
42,4,3,16.05142,108.22233,quan-hai-chau,mua-nha-hem-ngo/,3800000000
83,2,1,16.03851,108.24755,quan-ngu-hanh-son,mua-nha-mat-tien-pho/,3800000000
106,0,0,16.01971,108.25581,quan-ngu-hanh-son,mua-dat-nen-du-an/,3800000000
85,2,1,16.09447,108.23031,quan-son-tra,mua-nha-mat-tien-pho/,3800000000
125,3,2,16.05026,108.17358,quan-cam-le,mua-nha-mat-tien-pho/,3800000000
69,3,2,16.09412,108.2287,quan-son-tra,mua-nha-hem-ngo/,3800000000
69,3,2,16.09412,108.2287,quan-son-tra,mua-nha-hem-ngo/,3800000000
121,0,0,16.04513,108.211,quan-hai-chau,mua-dat-tho-cu/,3800000000
34,2,2,16.09384,108.24476,quan-son-tra,mua-nha-mat-tien-pho/,3800000000
120,0,0,16.00005,108.21795,quan-cam-le,mua-dat-nen-du-an/,3800000000
42,4,3,16.05329,108.22126,quan-hai-chau,mua-nha-mat-tien-pho/,3800000000
62,2,1,16.03851,108.24755,quan-ngu-hanh-son,mua-nha-mat-tien-pho/,3800000000
85,2,1,16.09447,108.23031,quan-son-tra,mua-nha-mat-tien-pho/,3800000000
81,3,2,16.02842,108.24583,quan-ngu-hanh-son,mua-nha-mat-tien-pho/,3850000000
